1;;address-any;address-any.svg
2;;address-personal;address-personal.svg
3;;community;community.svg
4;;event;event.svg
5;;private-relaypoint-bus;private-relaypoint-bus.svg
6;;private-relaypoint-carpool-area;private-relaypoint-carpool-area.svg
7;;private-relaypoint-company;private-relaypoint-company.svg
8;;private-relaypoint-carpool-stop;private-relaypoint-carpool-stop.svg
9;;private-relaypoint-drop-off-area;private-relaypoint-drop-off-area.svg
10;;private-relaypoint-park-and-ride;private-relaypoint-park-and-ride.svg
11;;private-relaypoint-parking;private-relaypoint-parking.svg
12;;private-relaypoint-taxi;private-relaypoint-taxi.svg
13;;private-relaypoint-train;private-relaypoint-train.svg
14;5;relaypoint-bus;relaypoint-bus.svg
15;6;relaypoint-carpool-area;relaypoint-carpool-area.svg
16;7;relaypoint-company;relaypoint-company.svg
17;8;relaypoint-carpool-stop;relaypoint-carpool-stop.svg
18;9;relaypoint-drop-off-area;relaypoint-drop-off-area.svg
19;10;relaypoint-park-and-ride;relaypoint-park-and-ride.svg
20;11;relaypoint-parking;relaypoint-parking.svg
21;12;relaypoint-taxi;relaypoint-taxi.svg
22;13;relaypoint-train;relaypoint-train.svg
23;;venue;venue.svg
